Window_title,Title,Description1,Category1,Description2,Category2,Value,Value_unit,Value_1,Value_1_unit,Comparison,Timestamp,Chart_info
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,01/22/2020,Measures,Positive Tests,0,cases,,cases (7-day moving avg),,11/04/2022,"Boston COVID-19 Dashboard, Boston Public Health Commission"
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,01/27/2020,Measures,Positive Tests,0,cases,,cases (7-day moving avg),,11/04/2022,"Prepared by the Infectious Disease Bureau, and Research and Evaluation Office"
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,01/29/2020,Measures,Positive Tests,2.5,cases,,cases (7-day moving avg),,11/04/2022,Data release version date: 2022_11_04
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,02/03/2020,Measures,Positive Tests,0,cases,,cases (7-day moving avg),,11/04/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/04/2020,Measures,Positive Tests,2.5,cases,,cases (7-day moving avg),,11/04/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/05/2020,Measures,Positive Tests,2.5,cases,,cases (7-day moving avg),,11/04/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/06/2020,Measures,Positive Tests,5,cases,1.8,cases (7-day moving avg),,11/04/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/07/2020,Measures,Positive Tests,8,cases,2.9,cases (7-day moving avg),,11/04/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/08/2020,Measures,Positive Tests,2.5,cases,3.3,cases (7-day moving avg),,11/04/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/09/2020,Measures,Positive Tests,0,cases,2.9,cases (7-day moving avg),,11/04/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/10/2020,Measures,Positive Tests,2.5,cases,3.3,cases (7-day moving avg),,11/04/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/11/2020,Measures,Positive Tests,2.5,cases,3.3,cases (7-day moving avg),,11/04/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/12/2020,Measures,Positive Tests,5,cases,3.6,cases (7-day moving avg),,11/04/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/13/2020,Measures,Positive Tests,10,cases,4.4,cases (7-day moving avg),,11/04/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/14/2020,Measures,Positive Tests,13,cases,5.1,cases (7-day moving avg),,11/04/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/15/2020,Measures,Positive Tests,14,cases,6.7,cases (7-day moving avg),,11/04/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/16/2020,Measures,Positive Tests,36,cases,11.9,cases (7-day moving avg),,11/04/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/17/2020,Measures,Positive Tests,46,cases,18.1,cases (7-day moving avg),,11/04/2022,""
COVID-19 Positive Tests,COVID-19 Positive Tests,Dates,03/18/2020,Measures,Positive Tests,50,cases,24.9,cases (7-day moving avg),,11/04/2022,""
