,death,deathConfirmed,deathIncrease,deathProbable,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCurrently,negative,negativeIncrease,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveTestsViral,recovered,totalTestResults,totalTestResultsIncrease,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,recovered_imputed,year,month,day,deathDecrease,hospitalizedDecreased,Year,Month,Week,Day,Dayofweek,Dayofyear,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Elapsed
0,16417.0,16085.0,43,332.0,19713.0,665.0,0,174.0,4404792.0,8028,116.0,591356.0,559083.0,1425,668145,508745.0,16825551,96578,156185.0,580372.0,4963875.0,9309,508745.0,2021,Mar,7,0.0,0.0,2021,3,9,7,6,66,False,False,False,False,False,False,1615075200.0
1,16374.0,16044.0,52,330.0,19713.0,687.0,0,176.0,4396764.0,7826,114.0,589931.0,557802.0,1722,666605,508745.0,16728973,100359,156185.0,578153.0,4954566.0,9321,508745.0,2021,Mar,6,0.0,0.0,2021,3,9,6,5,65,False,False,False,False,False,False,1614988800.0
2,16322.0,15992.0,26,330.0,19713.0,716.0,0,180.0,4388938.0,8907,109.0,588209.0,556307.0,1899,664893,508745.0,16628614,106263,156185.0,574434.0,4945245.0,10584,508745.0,2021,Mar,5,0.0,0.0,2021,3,9,5,4,64,False,False,False,False,False,False,1614902400.0
3,16296.0,15967.0,44,329.0,19713.0,741.0,0,168.0,4380031.0,8554,100.0,586310.0,554630.0,1567,662972,508745.0,16522351,102362,156185.0,571445.0,4934661.0,9964,508745.0,2021,Mar,4,0.0,0.0,2021,3,9,4,3,63,False,False,False,False,False,False,1614816000.0
4,16252.0,15925.0,70,327.0,19713.0,755.0,269,173.0,4371477.0,8511,109.0,584743.0,553220.0,1899,661370,494740.0,16419989,102052,154697.0,568678.0,4924697.0,10064,494740.0,2021,Mar,3,0.0,0.0,2021,3,9,3,2,62,False,False,False,False,False,False,1614729600.0
5,16182.0,15859.0,38,323.0,19444.0,775.0,0,187.0,4362966.0,7609,116.0,582844.0,551667.0,301,659584,494740.0,16317937,56007,154697.0,564788.0,4914633.0,7726,494740.0,2021,Mar,2,0.0,0.0,2021,3,9,2,1,61,False,False,False,False,False,False,1614643200.0
6,16144.0,15822.0,26,322.0,19444.0,788.0,0,184.0,4355357.0,6818,119.0,582543.0,551550.0,1395,659307,494740.0,16261930,53839,154697.0,561797.0,4906907.0,8066,494740.0,2021,Mar,1,0.0,0.0,2021,3,9,1,0,60,False,True,False,False,False,False,1614556800.0
7,16118.0,15796.0,51,322.0,19444.0,760.0,0,183.0,4348539.0,8459,124.0,581148.0,550302.0,1468,657840,494740.0,16208091,102571,154697.0,559897.0,4898841.0,9887,494740.0,2021,Feb,28,0.0,0.0,2021,2,8,28,6,59,True,False,False,False,False,False,1614470400.0
8,16067.0,15744.0,43,323.0,19444.0,785.0,0,204.0,4340080.0,8439,139.0,579680.0,548874.0,1700,656217,494740.0,16105520,108261,154697.0,557826.0,4888954.0,9955,494740.0,2021,Feb,27,0.0,0.0,2021,2,8,27,5,58,False,False,False,False,False,False,1614384000.0
9,16024.0,15703.0,46,321.0,19444.0,807.0,0,211.0,4331641.0,9469,137.0,577980.0,547358.0,1987,654425,494740.0,15997259,102584,154697.0,554801.0,4878999.0,11203,494740.0,2021,Feb,26,0.0,0.0,2021,2,8,26,4,57,False,False,False,False,False,False,1614297600.0
10,15978.0,15657.0,33,321.0,19444.0,853.0,0,221.0,4322172.0,11013,142.0,575993.0,545624.0,2108,652400,494740.0,15894675,118144,154697.0,551474.0,4867796.0,12941,494740.0,2021,Feb,25,0.0,0.0,2021,2,8,25,3,56,False,False,False,False,False,False,1614211200.0
11,15945.0,15624.0,62,321.0,19444.0,875.0,268,219.0,4311159.0,11201,151.0,573885.0,543696.0,2102,650220,477796.0,15776531,114127,153152.0,548242.0,4854855.0,12989,477796.0,2021,Feb,24,0.0,0.0,2021,2,8,24,2,55,False,False,False,False,False,False,1614124800.0
12,15883.0,15564.0,30,319.0,19176.0,879.0,0,225.0,4299958.0,7928,147.0,571783.0,541908.0,1237,648142,477796.0,15662404,62531,153152.0,543942.0,4841866.0,9042,477796.0,2021,Feb,23,0.0,0.0,2021,2,8,23,1,54,False,False,False,False,False,False,1614038400.0
13,15853.0,15534.0,27,319.0,19176.0,888.0,0,229.0,4292030.0,7086,140.0,570546.0,540794.0,1262,646850,477796.0,15599873,49929,153152.0,541220.0,4832824.0,8236,477796.0,2021,Feb,22,0.0,0.0,2021,2,8,22,0,53,False,False,False,False,False,False,1613952000.0
14,15826.0,15508.0,47,318.0,19176.0,927.0,0,234.0,4284944.0,8716,153.0,569284.0,539644.0,1520,645482,477796.0,15549944,87420,153152.0,539089.0,4824588.0,10032,477796.0,2021,Feb,21,0.0,0.0,2021,2,7,21,6,52,False,False,False,False,False,False,1613865600.0
15,15779.0,15462.0,53,317.0,19176.0,970.0,0,246.0,4276228.0,9150,152.0,567764.0,538328.0,1970,643953,477796.0,15462524,115002,153152.0,535624.0,4814556.0,10972,477796.0,2021,Feb,20,0.0,0.0,2021,2,7,20,5,51,False,False,False,False,False,False,1613779200.0
16,15726.0,15409.0,40,317.0,19176.0,990.0,0,258.0,4267078.0,8800,163.0,565794.0,536506.0,1818,641849,477796.0,15347522,106656,153152.0,533272.0,4803584.0,10479,477796.0,2021,Feb,19,0.0,0.0,2021,2,7,19,4,50,False,False,False,False,False,False,1613692800.0
17,15686.0,15373.0,63,313.0,19176.0,1029.0,0,271.0,4258278.0,8646,173.0,563976.0,534827.0,2040,639875,477796.0,15240866,100002,153152.0,530569.0,4793105.0,10449,477796.0,2021,Feb,18,0.0,0.0,2021,2,7,18,3,49,False,False,False,False,False,False,1613606400.0
18,15623.0,15312.0,56,311.0,19176.0,1088.0,317,273.0,4249632.0,6666,179.0,561936.0,533024.0,1360,637799,453740.0,15140864,82971,151476.0,527202.0,4782656.0,7988,453740.0,2021,Feb,17,0.0,0.0,2021,2,7,17,2,48,False,False,False,False,False,False,1613520000.0
19,15567.0,15257.0,50,310.0,18859.0,1096.0,0,275.0,4242966.0,5070,177.0,560576.0,531702.0,1226,636172,453740.0,15057893,46488,151476.0,524006.0,4774668.0,6037,453740.0,2021,Feb,16,0.0,0.0,2021,2,7,16,1,47,False,False,False,False,False,False,1613433600.0
20,15517.0,15208.0,33,309.0,18859.0,1107.0,0,286.0,4237896.0,8588,174.0,559350.0,530735.0,1573,634991,453740.0,15011405,62852,151476.0,520326.0,4768631.0,10068,453740.0,2021,Feb,15,0.0,0.0,2021,2,7,15,0,46,False,False,False,False,False,False,1613347200.0
21,15484.0,15176.0,60,308.0,18859.0,1125.0,0,290.0,4229308.0,10250,183.0,557777.0,529255.0,1882,633210,453740.0,14948553,110894,151476.0,518763.0,4758563.0,12070,453740.0,2021,Feb,14,0.0,0.0,2021,2,6,14,6,45,False,False,False,False,False,False,1613260800.0
22,15424.0,15116.0,66,308.0,18859.0,1149.0,0,291.0,4219058.0,10085,196.0,555895.0,527435.0,2083,631088,453740.0,14837659,99915,151476.0,516146.0,4746493.0,12034,453740.0,2021,Feb,13,0.0,0.0,2021,2,6,13,5,44,False,False,False,False,False,False,1613174400.0
23,15358.0,15051.0,89,307.0,18859.0,1223.0,0,300.0,4208973.0,10832,180.0,553812.0,525486.0,2416,628806,453740.0,14737744,106107,151476.0,512923.0,4734459.0,13060,453740.0,2021,Feb,12,0.0,0.0,2021,2,6,12,4,43,False,False,False,False,False,False,1613088000.0
24,15269.0,14964.0,62,305.0,18859.0,1313.0,0,304.0,4198141.0,10634,185.0,551396.0,523258.0,2450,626284,453740.0,14631637,110792,151476.0,509874.0,4721399.0,12847,453740.0,2021,Feb,11,0.0,0.0,2021,2,6,11,3,42,False,False,False,False,False,False,1613001600.0
25,15207.0,14903.0,83,304.0,18859.0,1358.0,457,309.0,4187507.0,9337,183.0,548946.0,521045.0,2050,623666,425717.0,14520845,100271,149467.0,506940.0,4708552.0,11257,425717.0,2021,Feb,10,0.0,0.0,2021,2,6,10,2,41,False,False,False,False,False,False,1612915200.0
26,15124.0,14821.0,70,303.0,18402.0,1401.0,0,324.0,4178170.0,5916,191.0,546896.0,519125.0,1593,621401,425717.0,14420574,52112,149467.0,503752.0,4697295.0,7235,425717.0,2021,Feb,9,0.0,0.0,2021,2,6,9,1,40,False,False,False,False,False,False,1612828800.0
27,15054.0,14753.0,55,301.0,18402.0,1387.0,0,329.0,4172254.0,5777,188.0,545303.0,517806.0,1369,619858,425717.0,14368462,42946,149467.0,500166.0,4690060.0,7053,425717.0,2021,Feb,8,0.0,0.0,2021,2,6,8,0,39,False,False,False,False,False,False,1612742400.0
28,14999.0,14698.0,78,301.0,18402.0,1389.0,0,318.0,4166477.0,12364,191.0,543934.0,516530.0,3107,618310,425717.0,14325516,113095,149467.0,497964.0,4683007.0,15368,425717.0,2021,Feb,7,0.0,0.0,2021,2,5,7,6,38,False,False,False,False,False,False,1612656000.0
29,14921.0,14622.0,62,299.0,18402.0,1451.0,0,310.0,4154113.0,11850,189.0,540827.0,513526.0,3619,614847,425717.0,14212421,129509,149467.0,496324.0,4667639.0,15228,425717.0,2021,Feb,6,0.0,0.0,2021,2,5,6,5,37,False,False,False,False,False,False,1612569600.0
30,14859.0,14563.0,75,296.0,18402.0,1503.0,0,322.0,4142263.0,12608,196.0,537208.0,510148.0,3287,610865,425717.0,14082912,127468,149467.0,491939.0,4652411.0,15590,425717.0,2021,Feb,5,0.0,0.0,2021,2,5,5,4,36,False,False,False,False,False,False,1612483200.0
31,14784.0,14489.0,76,295.0,18402.0,1554.0,0,335.0,4129655.0,8753,208.0,533921.0,507166.0,2804,607390,425717.0,13955444,81286,149467.0,487573.0,4636821.0,11355,425717.0,2021,Feb,4,0.0,0.0,2021,2,5,4,3,35,False,False,False,False,False,False,1612396800.0
32,14708.0,14415.0,56,293.0,18402.0,1635.0,394,335.0,4120902.0,9229,203.0,531117.0,504564.0,2455,604434,389717.0,13874158,91693,147875.0,484563.0,4625466.0,11415,389717.0,2021,Feb,3,0.0,0.0,2021,2,5,3,2,34,False,False,False,False,False,False,1612310400.0
33,14652.0,14362.0,45,290.0,18008.0,1631.0,0,353.0,4111673.0,8264,224.0,528662.0,502378.0,2239,601762,389717.0,13782465,61265,147875.0,480992.0,4614051.0,10227,389717.0,2021,Feb,2,0.0,0.0,2021,2,5,2,1,33,False,False,False,False,False,False,1612224000.0
34,14607.0,14317.0,30,290.0,18008.0,1676.0,0,373.0,4103409.0,11221,222.0,526423.0,500415.0,2398,599434,389717.0,13721200,88302,147875.0,476976.0,4603824.0,13491,389717.0,2021,Feb,1,0.0,0.0,2021,2,5,1,0,32,False,True,False,False,False,False,1612137600.0
