,date,county,state,fips,cases,deaths
44,2020-02-01,Suffolk,Massachusetts,25025.0,1,0.0
52,2020-02-02,Suffolk,Massachusetts,25025.0,1,0.0
60,2020-02-03,Suffolk,Massachusetts,25025.0,1,0.0
68,2020-02-04,Suffolk,Massachusetts,25025.0,1,0.0
76,2020-02-05,Suffolk,Massachusetts,25025.0,1,0.0
85,2020-02-06,Suffolk,Massachusetts,25025.0,1,0.0
94,2020-02-07,Suffolk,Massachusetts,25025.0,1,0.0
103,2020-02-08,Suffolk,Massachusetts,25025.0,1,0.0
112,2020-02-09,Suffolk,Massachusetts,25025.0,1,0.0
122,2020-02-10,Suffolk,Massachusetts,25025.0,1,0.0
132,2020-02-11,Suffolk,Massachusetts,25025.0,1,0.0
142,2020-02-12,Suffolk,Massachusetts,25025.0,1,0.0
153,2020-02-13,Suffolk,Massachusetts,25025.0,1,0.0
164,2020-02-14,Suffolk,Massachusetts,25025.0,1,0.0
175,2020-02-15,Suffolk,Massachusetts,25025.0,1,0.0
186,2020-02-16,Suffolk,Massachusetts,25025.0,1,0.0
197,2020-02-17,Suffolk,Massachusetts,25025.0,1,0.0
209,2020-02-18,Suffolk,Massachusetts,25025.0,1,0.0
221,2020-02-19,Suffolk,Massachusetts,25025.0,1,0.0
234,2020-02-20,Suffolk,Massachusetts,25025.0,1,0.0
248,2020-02-21,Suffolk,Massachusetts,25025.0,1,0.0
262,2020-02-22,Suffolk,Massachusetts,25025.0,1,0.0
276,2020-02-23,Suffolk,Massachusetts,25025.0,1,0.0
291,2020-02-24,Suffolk,Massachusetts,25025.0,1,0.0
307,2020-02-25,Suffolk,Massachusetts,25025.0,1,0.0
327,2020-02-26,Suffolk,Massachusetts,25025.0,1,0.0
347,2020-02-27,Suffolk,Massachusetts,25025.0,1,0.0
367,2020-02-28,Suffolk,Massachusetts,25025.0,1,0.0
389,2020-02-29,Suffolk,Massachusetts,25025.0,1,0.0
414,2020-03-01,Suffolk,Massachusetts,25025.0,1,0.0
444,2020-03-02,Norfolk,Massachusetts,25021.0,1,0.0
445,2020-03-02,Suffolk,Massachusetts,25025.0,1,0.0
478,2020-03-03,Norfolk,Massachusetts,25021.0,1,0.0
479,2020-03-03,Suffolk,Massachusetts,25025.0,1,0.0
513,2020-03-04,Norfolk,Massachusetts,25021.0,1,0.0
514,2020-03-04,Suffolk,Massachusetts,25025.0,1,0.0
556,2020-03-05,Middlesex,Massachusetts,25017.0,1,0.0
557,2020-03-05,Norfolk,Massachusetts,25021.0,1,0.0
558,2020-03-05,Suffolk,Massachusetts,25025.0,1,0.0
616,2020-03-06,Middlesex,Massachusetts,25017.0,1,0.0
617,2020-03-06,Norfolk,Massachusetts,25021.0,3,0.0
618,2020-03-06,Suffolk,Massachusetts,25025.0,4,0.0
701,2020-03-07,Berkshire,Massachusetts,25003.0,1,0.0
702,2020-03-07,Middlesex,Massachusetts,25017.0,5,0.0
703,2020-03-07,Norfolk,Massachusetts,25021.0,3,0.0
704,2020-03-07,Suffolk,Massachusetts,25025.0,4,0.0
803,2020-03-08,Berkshire,Massachusetts,25003.0,1,0.0
804,2020-03-08,Middlesex,Massachusetts,25017.0,10,0.0
805,2020-03-08,Norfolk,Massachusetts,25021.0,7,0.0
806,2020-03-08,Suffolk,Massachusetts,25025.0,9,0.0
807,2020-03-08,Worcester,Massachusetts,25027.0,1,0.0
927,2020-03-09,Berkshire,Massachusetts,25003.0,5,0.0
928,2020-03-09,Middlesex,Massachusetts,25017.0,15,0.0
929,2020-03-09,Norfolk,Massachusetts,25021.0,10,0.0
930,2020-03-09,Suffolk,Massachusetts,25025.0,10,0.0
931,2020-03-09,Worcester,Massachusetts,25027.0,1,0.0
1073,2020-03-10,Berkshire,Massachusetts,25003.0,7,0.0
1074,2020-03-10,Essex,Massachusetts,25009.0,1,0.0
1075,2020-03-10,Middlesex,Massachusetts,25017.0,41,0.0
1076,2020-03-10,Norfolk,Massachusetts,25021.0,22,0.0
1077,2020-03-10,Suffolk,Massachusetts,25025.0,20,0.0
1078,2020-03-10,Worcester,Massachusetts,25027.0,1,0.0
1253,2020-03-11,Berkshire,Massachusetts,25003.0,9,0.0
1254,2020-03-11,Essex,Massachusetts,25009.0,1,0.0
1255,2020-03-11,Middlesex,Massachusetts,25017.0,41,0.0
1256,2020-03-11,Norfolk,Massachusetts,25021.0,22,0.0
